"window_id","n_obs","minw","lag","nrep","gsadf_stat","gsadf_cv95","gsadf_reject","error"
"w000275",60,50,1,499,-1.26636555877672,0.461119876580165,FALSE,""
"w000276",60,50,1,499,-1.01114010787315,0.461119876580165,FALSE,""
"w000277",60,50,1,499,-0.984947671028872,0.461119876580165,FALSE,""
"w000278",60,50,1,499,-1.4145647270313,0.461119876580165,FALSE,""
"w000279",60,50,1,499,-0.356707957712141,0.461119876580165,FALSE,""
"w000280",60,50,1,499,-2.0465765723788,0.461119876580165,FALSE,""
"w000281",60,50,1,499,0.346936399146665,0.461119876580165,FALSE,""
"w000282",60,50,1,499,-1.45498425690028,0.461119876580165,FALSE,""
"w000283",60,50,1,499,0.787514181642068,0.461119876580165,TRUE,""
"w000284",60,50,1,499,-2.12918627601183,0.461119876580165,FALSE,""
"w000285",60,50,1,499,-1.41295688954096,0.461119876580165,FALSE,""
"w000286",60,50,1,499,-0.628767811031382,0.461119876580165,FALSE,""
"w000287",60,50,1,499,-1.15110367889283,0.461119876580165,FALSE,""
"w000288",60,50,1,499,-1.32485547522066,0.461119876580165,FALSE,""
"w000289",60,50,1,499,-0.634530472778757,0.461119876580165,FALSE,""
"w000290",60,50,1,499,-2.07266580508429,0.461119876580165,FALSE,""
"w000291",60,50,1,499,-0.744951496790494,0.461119876580165,FALSE,""
"w000292",60,50,1,499,-0.915781334746293,0.461119876580165,FALSE,""
"w000293",60,50,1,499,-2.19593194857816,0.461119876580165,FALSE,""
"w000294",60,50,1,499,-0.668880723991189,0.461119876580165,FALSE,""
"w000295",60,50,1,499,-1.42036284016731,0.461119876580165,FALSE,""
"w000296",60,50,1,499,-3.41635604730664,0.461119876580165,FALSE,""
"w000297",60,50,1,499,-1.76786544671547,0.461119876580165,FALSE,""
"w000298",60,50,1,499,-1.21809290202922,0.461119876580165,FALSE,""
"w000299",60,50,1,499,-1.37754354256324,0.461119876580165,FALSE,""
"w000300",60,50,1,499,-1.61972696883358,0.461119876580165,FALSE,""
"w000301",60,50,1,499,-2.59697802203832,0.461119876580165,FALSE,""
"w000302",60,50,1,499,-0.811597499906841,0.461119876580165,FALSE,""
"w000303",60,50,1,499,-1.02246174059022,0.461119876580165,FALSE,""
"w000304",60,50,1,499,-1.37231677660433,0.461119876580165,FALSE,""
"w000305",60,50,1,499,-1.1764806853837,0.461119876580165,FALSE,""
"w000306",60,50,1,499,-1.18203004914377,0.461119876580165,FALSE,""
"w000307",60,50,1,499,-0.398100372660344,0.461119876580165,FALSE,""
"w000308",60,50,1,499,0.188062137574273,0.461119876580165,FALSE,""
"w000309",60,50,1,499,-1.74573839097527,0.461119876580165,FALSE,""
"w000310",60,50,1,499,-1.86611613186229,0.461119876580165,FALSE,""
"w000311",60,50,1,499,-1.3262969895925,0.461119876580165,FALSE,""
"w000312",60,50,1,499,-0.964678255255431,0.461119876580165,FALSE,""
"w000313",60,50,1,499,-1.78355071657291,0.461119876580165,FALSE,""
"w000314",60,50,1,499,-2.84580596358252,0.461119876580165,FALSE,""
"w000315",60,50,1,499,-0.439776281334201,0.461119876580165,FALSE,""
"w000316",60,50,1,499,-0.983585595214114,0.461119876580165,FALSE,""
"w000317",60,50,1,499,-1.82228424388204,0.461119876580165,FALSE,""
"w000318",60,50,1,499,1.33211218660693,0.461119876580165,TRUE,""
"w000319",60,50,1,499,-1.4102729994335,0.461119876580165,FALSE,""
"w000320",60,50,1,499,-2.21544243383577,0.461119876580165,FALSE,""
"w000321",60,50,1,499,-1.05810179492737,0.461119876580165,FALSE,""
"w000322",60,50,1,499,0.483073901966681,0.461119876580165,TRUE,""
"w000323",60,50,1,499,-2.98848700146588,0.461119876580165,FALSE,""
"w000324",60,50,1,499,-0.783220781273148,0.461119876580165,FALSE,""
"w000325",60,50,1,499,-2.10697631860834,0.461119876580165,FALSE,""
"w000326",60,50,1,499,-1.42444699904078,0.461119876580165,FALSE,""
"w000327",60,50,1,499,-0.944123329507115,0.461119876580165,FALSE,""
"w000328",60,50,1,499,1.170066683936,0.461119876580165,TRUE,""
"w000329",60,50,1,499,-0.524940361292245,0.461119876580165,FALSE,""
"w000330",60,50,1,499,-0.0808297350843761,0.461119876580165,FALSE,""
"w000331",60,50,1,499,-1.93872964876853,0.461119876580165,FALSE,""
"w000332",60,50,1,499,-1.31541626759032,0.461119876580165,FALSE,""
"w000333",60,50,1,499,-1.28010195890809,0.461119876580165,FALSE,""
"w000334",60,50,1,499,-1.23287498299654,0.461119876580165,FALSE,""
"w000335",60,50,1,499,-1.16112856668152,0.461119876580165,FALSE,""
