stock_id,date,close,has_structural_window,num_confirmed_extrema,starts_high,high1,high2,low1,low2,range_pct,expansion,structure_dir,range_pos,upper_break,lower_break,move_age,extrema_freq,speed_imbalance,speed_level,valid_manual_state,range_pct_group,expansion_group,structure_dir_group,range_pos_group,upper_break_group,lower_break_group,move_age_group,extrema_freq_group,speed_imbalance_group,speed_level_group,state_label,sample_type,sample_name,window_id,range_pct_score,expansion_score,structure_dir_score,range_pos_score,upper_break_score,lower_break_score,move_age_score,extrema_freq_score,speed_imbalance_score,speed_level_score
000039,2019-05-14,2.5494451709255714,True,342,1.0,2.660259537265861,2.7917784166329223,2.5974910105351463,2.503073953743449,0.288704462889473,0.2259359361587578,0.0371018225753636,0.1606182901297056,0.0,0.0,0.2857142857142857,0.1142857142857142,0.0067447991318286,0.0134888746169498,True,high,high,mid,low,low,low,low,low,high,high,wide_expanding,state_quantile,speed_level_high,w001113,0.6237465249927789,1.0,0.41159593008576434,-0.5117703996290934,-1.0,-1.0,-0.9548872180451128,-0.8434782608695652,1.0,-0.299217162691209
000153,2011-01-11,2.274185618472348,True,39,0.0,2.4501426573516603,2.372111155642656,2.3485140248824456,2.2512917986064958,0.1988508587451649,0.019190724566946,-0.1752537279849546,0.1151306059743583,0.0,0.0,0.6666666666666666,0.2222222222222222,-0.0019049540969574,0.013052311483958,True,mid,mid,low,low,low,low,low,mid,low,high,down_structure_low_pos,state_quantile,speed_level_high,w001114,-0.23290245570361356,0.21864775334460784,-0.3137939301066658,-0.4617294448826409,-1.0,-1.0,-0.6224040276903713,-0.6296296296296297,-0.15543211354461817,-0.3339911624255576
000036,2021-12-31,1.4678743481123135,True,393,1.0,1.5602476682433286,1.545432582458188,1.4747630091074988,1.4350845252893227,0.1251631429540058,0.0248633980330355,-0.0544935696033166,0.2619766654073251,0.0,0.0,0.75,0.5714285714285714,-0.002997334835255,0.0128740586920154,True,low,mid,mid,low,low,low,low,high,low,high,fast_chop,state_quantile,speed_level_high,w001115,-0.6500382780479474,0.06292215381330579,0.04965459540424311,0.2527982723112434,-1.0,-1.0,-0.7837059388286929,1.0,-0.1449116099394463,-0.05499478056418494
000039,2010-08-26,2.6253929674212007,True,23,0.0,2.644044871126298,2.6864860231863696,2.4168062370840686,2.583997552432231,0.269679786102301,-0.1247501632880907,0.2096324674082343,0.7734607526646665,0.0,1.0,0.3076923076923077,0.1538461538461538,-0.005590668049767,0.0140788984617814,True,high,low,high,high,low,high,low,low,low,high,up_structure_high_pos,state_quantile,speed_level_high,w001116,1.0,-1.0,0.5230108782445071,0.4756292748807185,-1.0,1.0,-0.8471337579617835,-0.9748571428571429,-1.0,0.3941487292365029
000062,2026-03-20,3.2476576262936527,True,608,0.0,3.235142797332073,3.3513066120486905,3.1747149290824312,3.12324559385295,0.2280610181957398,0.1676331499460985,0.0646944794871373,0.545520814670405,0.0,0.0,0.5,0.1904761904761904,0.0062490288777527,0.0131116069083502,True,high,high,high,mid,low,low,low,mid,high,high,wide_expanding,state_quantile,speed_level_high,w001117,-0.11568229685172182,1.0,0.4047224931537101,0.4223592259581419,-1.0,-1.0,-0.8421052631578947,-0.4135338345864662,0.48288083118947545,-0.30008521719047043
000029,2013-09-16,1.332366019094335,True,132,1.0,1.3787660946990992,1.3297240096314962,1.2612978709452054,1.2612978709452054,0.1174682237538937,-0.0490420850676029,-0.0490420850676029,0.6049989169668858,1.0,0.0,1.5,0.8,0.0245210425338014,0.0245210425338014,True,low,low,mid,high,high,low,mid,high,high,high,fast_chop,state_quantile,speed_level_high,w001118,-0.8846337695946562,-0.08052754529307482,-0.0864451683955072,0.562927595813778,1.0,-1.0,-0.3580246913580246,1.0,1.0,0.8556389826581301
000019,2016-06-30,2.6071242825122494,True,252,0.0,2.8507065015037334,2.637627736805664,2.7180005319553784,2.3617969526258915,0.4889095488778419,0.1431248146314176,-0.5692823440275561,0.5017846970864849,1.0,0.0,0.6666666666666666,0.4,-0.0289274396932855,0.0898070867498767,True,high,high,low,mid,high,low,low,high,low,high,fast_chop,state_quantile,speed_level_high,w001119,0.9044807573517535,0.2392891036118625,-1.0,0.09608206683418397,1.0,-1.0,-0.8529880780621154,0.040000000000000036,-1.0,1.0
000009,2017-08-30,2.157559320943788,True,304,1.0,2.162172939277301,2.2700619012884857,2.010894999144726,2.1210632163706555,0.2591669021437597,-0.0022792552147445,0.2180571792371144,0.5659068368140133,0.0,1.0,1.4444444444444444,0.1666666666666666,0.0013942702449949,0.0129909246898296,True,high,mid,high,mid,low,high,mid,low,mid,high,other,state_quantile,speed_level_high,w001120,-0.07401791139099057,-0.16572848850016897,0.7963902830703016,0.1904066100531412,-1.0,1.0,-0.4474802671523981,-0.5602836879432624,-0.10206602120456887,-0.4876655193677314
000028,2012-03-06,3.006672213592325,True,75,0.0,3.017493765335504,3.1540172525197043,2.91180703861623,2.859912550411456,0.2941047021082483,0.1884179753889743,0.0846289989794266,0.4990048174301298,0.0,0.0,1.0,0.1290322580645161,-0.0007096287937081,0.0108224796962415,True,high,high,high,mid,low,low,mid,low,mid,mid,wide_expanding,composite_state,wide_expanding,w001121,0.203781006590944,1.0,0.6607026724365714,0.15803523579661505,-1.0,-1.0,-0.5405819295558956,-0.9726925866363952,-0.20542136811603695,-0.2325004554347735
000407,2017-07-25,2.1234584270966104,True,255,1.0,2.26176309847379,2.390595970316759,2.128231705849268,2.020222182019865,0.3703737882968942,0.2368423956723715,0.0208233480135655,0.2787352894260177,0.0,0.0,0.1666666666666666,0.0930232558139534,0.0081016940235952,0.0133704512835661,True,high,high,mid,mid,low,low,low,low,high,high,wide_expanding,composite_state,wide_expanding,w001122,0.7244147707329198,1.0,0.12931821896965845,-0.4122163318041525,-1.0,-1.0,-1.0,-1.0,0.387180921685478,-0.4558316808537557
